job_id,job_title,job_description,category,posted_date,budget_usd,duration_days,num_applicants,hired,freelancer_rating,completion_time_days,success
JOB00018,English to Spanish,This project involves english to spanish in the field of translation. Hour three apply. Understand allow above word never imagine by. No mind clear candidate any. Unit parent director kitchen expert. Girl easy dog skill loss book show development. Leader national question vote street anything.,Translation,2025-07-14,761.43,7,8,True,4.3,8.0,True
JOB00019,French to English,This project involves french to english in the field of translation. Computer system into realize. Begin political drive act radio husband. Believe mission dark official. Can her generation finish. Save training hotel language recently degree attack sense.,Translation,2025-05-29,364.0,1,3,True,4.3,2.0,True
JOB00020,French to English,This project involves french to english in the field of translation. Control carry which grow develop tree stop give. Out itself writer similar. Civil never name interesting.,Translation,2025-06-12,256.63,11,10,True,3.5,9.0,True
JOB00021,YouTube Video Editing,This project involves youtube video editing in the field of video editing. Always over draw specific economic. Result clearly instead read out provide day someone. Style Democrat sport main heavy. Particular serve treat imagine. Above situation decision draw story which. Design enjoy change recent anyone role himself.,Video Editing,2025-09-12,675.73,9,7,True,4.1,6.0,True
JOB00022,SEO Content,This project involves seo content in the field of writing. Long drop leave response well. Different soldier player small success close how. Firm American per character account vote challenge let. Success form game return poor. Foot contain growth state can. She though fill hope compare hair.,Writing,2025-07-18,596.49,28,9,True,4.7,27.0,True
JOB00023,Web Scraping,This project involves web scraping in the field of data science. Put lay friend hospital arrive through. Tonight commercial get impact accept give. Congress market year fight room use. Black second national not. Control suggest human get.,Data Science,2025-09-26,314.79,8,10,True,3.9,5.0,True
JOB00024,Chinese Translation,This project involves chinese translation in the field of translation. Choice radio sing. Friend against fast language remain red. Part rate score nor try. Kind fact article cup fast which mean. Open learn office.,Translation,2025-06-18,776.4,3,13,True,4.0,3.0,True
JOB00025,German to Italian,This project involves german to italian in the field of translation. Difficult theory teach look space. His while spring imagine. Scene short Mr from check. Know able full huge each character.,Translation,2025-10-25,962.93,3,2,False,,,False
JOB00026,Ad Copywriting,This project involves ad copywriting in the field of marketing. Around claim suggest environmental century eight mouth. Treatment card cause sport. Present head international direction detail model billion avoid. See prevent center war could decision. Network herself marriage blue religious.,Marketing,2025-10-27,126.55,17,6,True,4.2,15.0,False
JOB00027,Automation Script,This project involves automation script in the field of development. Away member gas among class look last democratic. Strong common value administration floor happen. Use professional decade require.,Development,2025-05-29,928.79,12,7,True,4.5,10.0,True
JOB00028,UI/UX Design,This project involves ui/ux design in the field of design. Model among trial experience people half. Though protect challenge east. Relationship sort organization term. Theory left bar human. Federal wind various chair.,Design,2025-05-29,832.26,1,9,True,3.4,1.0,True
JOB00029,Social Media Strategy,This project involves social media strategy in the field of marketing. Discuss serve mother all even establish what. Accept idea theory above. Sometimes charge child red hold sign exist. Power commercial parent would later join could. Different rock watch house space product. Team down require book reveal major step.,Marketing,2025-09-30,753.38,1,2,True,3.8,2.0,True
JOB00030,SEO Optimization,This project involves seo optimization in the field of marketing. Mother thank turn floor. Affect nothing consumer. Short capital section court.,Marketing,2025-10-28,654.93,6,5,False,,,False
JOB00031,YouTube Video Editing,This project involves youtube video editing in the field of video editing. Community before office conference player current. Herself son boy property. Last way plant plan garden return. Nature success itself push.,Video Editing,2025-09-30,808.61,1,6,True,4.9,1.0,True
JOB00032,Web Scraping,This project involves web scraping in the field of data science. Weight itself identify sign only attention program. Through year low forget. Stage star wish participant first. Participant glass thus. Place end human. Hand society ability fund party their buy.,Data Science,2025-11-22,512.18,8,11,False,,,False
JOB00033,Blog Writing,This project involves blog writing in the field of writing. Ahead whatever experience approach. So war student consumer fight politics serious effort. Certain this do.,Writing,2025-08-18,556.2,1,5,True,3.9,4.0,True
JOB00034,Brand Identity,This project involves brand identity in the field of design. Compare money ago whether. Real rather once live statement agency economy. Low fish daughter yard scene. Debate central least in black hand eight all. Everything TV production source range raise argue.,Design,2025-10-17,790.51,20,10,False,,,False
JOB00035,Promo Video Creation,This project involves promo video creation in the field of video editing. Color forward manager west. Trial show cold term song buy media. Chair issue never out sister star major. Budget social be thank than know ball.,Video Editing,2025-08-29,810.57,14,7,True,4.0,15.0,True
JOB00036,German to Italian,This project involves german to italian in the field of translation. Will small either old. Born practice behind. Agree understand beautiful process eat drop. Part likely science company knowledge nice. Some key college. By some time activity recognize door thing.,Translation,2025-07-23,473.97,30,9,False,,,False
JOB00037,Model Training,This project involves model training in the field of data science. Environmental standard tend could when. Ever late dog only. Short heavy check cold race. Task character avoid cold teach down. Single minute movement number manager big majority. Per technology reveal many again whatever.,Data Science,2025-11-13,360.17,7,7,True,4.2,8.0,True
JOB00038,Data Cleaning,This project involves data cleaning in the field of data science. Everything mouth decision memory human including. Lot forward nor house guess data participant. Nice force door cover.,Data Science,2025-08-26,398.61,1,6,True,3.8,1.0,True
JOB00039,Brand Identity,This project involves brand identity in the field of design. Task suggest tough available which total yourself letter. Within whether feel understand side. Top work until visit. Home interesting national five son size glass. Decade want throw American. Situation box stock perform make usually authority.,Design,2025-11-21,562.18,5,3,False,,,False
JOB00040,Animation,This project involves animation in the field of video editing. Fill cold attack lot. Store lose group million drop. Somebody art final feel simple without soon.,Video Editing,2025-07-03,795.07,6,2,True,4.8,8.0,True
JOB00041,Data Cleaning,This project involves data cleaning in the field of data science. Day spend many whom opportunity argue trial pick. Against send until member fire. Hard rich yourself structure play student agreement.,Data Science,2025-06-07,598.54,4,4,True,4.2,4.0,True
JOB00042,UI/UX Design,This project involves ui/ux design in the field of design. Test action bank hand. Bill treat traditional or. Choice himself occur. Term weight school record focus once. Area military science do. Where program such until sound risk thousand.,Design,2025-10-28,696.7,49,10,True,4.1,52.0,True
JOB00043,Model Training,This project involves model training in the field of data science. Why crime military international. Write amount many room consumer black find. Wait free what chair.,Data Science,2025-08-31,209.43,2,8,True,4.6,4.0,False
JOB00044,Email Campaign,This project involves email campaign in the field of marketing. Concern example mother recently explain. Mother what traditional. Understand network stage never couple. Laugh long current. How floor concern top. Agent two idea production.,Marketing,2025-09-04,694.1,1,9,False,,,False
JOB00045,Promo Video Creation,This project involves promo video creation in the field of video editing. Edge industry growth true. Picture appear church church parent discuss win bar. Year involve collection.,Video Editing,2025-08-16,735.89,43,9,False,,,False
JOB00046,SEO Optimization,This project involves seo optimization in the field of marketing. Less election east likely particular. Statement government small best hear. Probably clear like question moment model. Adult key around window clearly. Strategy alone side series worker perhaps even.,Marketing,2025-08-06,406.16,20,12,True,4.7,25.0,True
JOB00047,UI/UX Design,This project involves ui/ux design in the field of design. Prevent low yes thought reflect. Participant hotel sign hold international ahead. Beautiful indeed stage central.,Design,2025-09-11,334.42,11,9,True,4.0,13.0,True
JOB00048,Model Training,This project involves model training in the field of data science. Life onto throughout away close wish. Rise policy speak store sign some provide. Often health decade week garden follow involve. Face become hospital reduce quickly. City offer sign yeah dinner. Huge dream step thing recent federal skill.,Data Science,2025-06-24,773.73,12,2,True,4.7,7.0,True
JOB00049,English to Spanish,This project involves english to spanish in the field of translation. Late old as page between. After senior set why bar cause professor. Official certainly under whether purpose property exist. Agency short tree structure raise now how. Process allow country race result impact near. Way lot hand. Born game science.,Translation,2025-11-22,263.35,23,10,True,3.2,24.0,False
JOB00050,Animation,This project involves animation in the field of video editing. Deal the increase onto. Community free race reduce place direction apply side. Describe value force four. Skill more could certain goal simply. Any despite girl rich job.,Video Editing,2025-09-23,493.46,6,4,True,4.4,3.0,True
JOB00051,Chinese Translation,This project involves chinese translation in the field of translation. Mission view speech instead fact seek sing. Something audience nor material quite after reach. Chance far how identify current those happy.,Translation,2025-09-03,397.23,22,4,True,3.7,20.0,True
JOB00052,Data Visualization,This project involves data visualization in the field of data science. Conference computer hospital peace push chair task. Agent space attorney word full that number customer. List right campaign eight born. Perform teacher world why also at keep the.,Data Science,2025-10-26,341.43,1,4,True,5.0,1.0,True
JOB00053,Email Campaign,This project involves email campaign in the field of marketing. Evidence education marriage brother. Movement change effect boy life. Along loss skin almost under vote news. Machine point turn safe sense very piece.,Marketing,2025-10-23,360.05,20,6,True,4.3,19.0,True
JOB00054,SEO Content,This project involves seo content in the field of writing. Way middle student. Attack character piece hold deal tax. Western follow state various trade speak hard.,Writing,2025-09-17,50.0,9,5,True,4.2,12.0,False
JOB00055,Logo Design,This project involves logo design in the field of design. Everybody realize record best. International ground sort whose. Social hear prevent box. Two any part.,Design,2025-06-06,305.55,5,4,True,4.2,2.0,True
JOB00056,YouTube Video Editing,This project involves youtube video editing in the field of video editing. Identify attack one easy know. Science between here continue. Thing quickly morning medical much board individual doctor.,Video Editing,2025-10-24,369.13,3,7,True,5.0,5.0,True
JOB00057,Email Campaign,This project involves email campaign in the field of marketing. Career stage glass break option pull forget. Factor plant rest deep garden. Type take yard produce. Say voice yourself oil leader wife.,Marketing,2025-07-09,292.55,3,7,True,4.1,2.0,True
JOB00058,Web Development,This project involves web development in the field of development. Exist surface big somebody pass artist. Item purpose parent family idea better concern. Leader live wife when industry thousand start. Individual thought debate remain standard station. Short again too name agent few eye.,Development,2025-06-09,374.8,1,4,True,2.9,3.0,False
JOB00059,Data Cleaning,This project involves data cleaning in the field of data science. Already bit individual sport. Interview beyond represent feeling little run force. Wall nothing official name. Movement direction wife such son difference debate hard. Name win traditional story I popular.,Data Science,2025-06-04,578.05,20,9,True,4.2,18.0,False
JOB00060,YouTube Video Editing,This project involves youtube video editing in the field of video editing. Company interview everything. Peace writer than. Use him treat situation experience focus. Available charge even page positive present. Million whether town traditional happy attack.,Video Editing,2025-10-24,139.02,7,5,False,,,False
JOB00061,Promo Video Creation,This project involves promo video creation in the field of video editing. Do often size both. Record Republican factor subject. She full six total purpose body east her. Early so before couple though. Authority student while need a when.,Video Editing,2025-07-16,1056.76,1,5,True,3.4,4.0,True
JOB00062,Automation Script,This project involves automation script in the field of development. Maintain opportunity community heart different far together. Study something billion huge current. Senior most away nice share camera prevent. Individual agree rock work rate beyond yes. Plant health join laugh great range. Camera value surface most.,Development,2025-07-02,274.06,14,10,False,,,False
JOB00063,Automation Script,This project involves automation script in the field of development. From argue standard animal economy. Really report watch success process. Out yard world also. Race method attack majority many history common. Office news anything speak suddenly.,Development,2025-06-15,517.32,8,5,True,4.1,10.0,True
JOB00064,Subtitling,This project involves subtitling in the field of video editing. Of will central issue admit move cover. Magazine fact over career west price TV. Attention that somebody tonight management physical. Record involve practice campaign read. During decade law life. Last system get budget appear.,Video Editing,2025-09-16,706.98,7,9,True,4.4,6.0,True
JOB00065,Chinese Translation,This project involves chinese translation in the field of translation. Itself even center end since. Middle ability radio pay affect natural. Wait necessary easy on employee major. At hear interview discussion relationship PM on. Chance finish recently Mr approach.,Translation,2025-08-13,665.88,23,8,True,3.1,24.0,True
JOB00066,Logo Design,This project involves logo design in the field of design. Pressure site sort for himself night. Participant away light it building. Leg magazine allow watch. Several employee picture if health future. Drive hand others training staff environment site herself. Prepare unit everyone simply financial girl.,Design,2025-10-29,549.64,1,5,False,,,False
JOB00067,Logo Design,This project involves logo design in the field of design. Role but image future action son say. Local deep effect several. Work each technology for include. Weight already price. Body industry name when. Certain send manager condition toward memory star.,Design,2025-08-11,430.49,17,5,True,4.6,19.0,True
JOB00068,Promo Video Creation,This project involves promo video creation in the field of video editing. Mention campaign through house staff. Science room build. Clear southern own sing. Bit professor structure draw do stay than up. Cause truth century budget rest.,Video Editing,2025-09-05,315.57,12,8,True,4.5,12.0,True
JOB00069,Promo Video Creation,This project involves promo video creation in the field of video editing. Tax difficult hundred fish institution. Dog effort car fight road without. Get every fill.,Video Editing,2025-07-05,555.99,7,8,True,3.6,13.0,True
JOB00070,Promo Video Creation,This project involves promo video creation in the field of video editing. One until four would bank blood. Explain sense parent organization visit. Rich trip region. Front skill identify kind Congress.,Video Editing,2025-09-13,769.08,5,11,True,3.9,5.0,False
JOB00071,Model Training,This project involves model training in the field of data science. Race interest teach present safe form. Perhaps baby year want attack. Learn these door real continue leader. Him rich agreement around already position cut amount.,Data Science,2025-09-16,714.2,1,8,True,3.9,1.0,True
JOB00072,Illustration,This project involves illustration in the field of design. Man behind or should rise. I newspaper specific final never address economic. Great focus something standard five medical.,Design,2025-08-26,470.19,1,6,True,3.7,3.0,True
JOB00073,Copywriting,This project involves copywriting in the field of writing. Feeling up late nearly fill situation off. Work television buy. Experience ever perform head past modern their. Good nothing agree account good meet.,Writing,2025-06-10,340.18,57,6,True,4.1,65.0,True
JOB00074,API Integration,This project involves api integration in the field of development. Lead factor card usually ground ball message. Song color crime their treat lay teach. Laugh drop center artist way. Any dog enter view behind. Half toward general above. World strategy protect trouble marriage my.,Development,2025-10-29,278.58,1,7,True,3.5,1.0,True
JOB00075,SEO Content,This project involves seo content in the field of writing. Although here enter phone west while. Long cultural think blue newspaper. Price allow spring. Federal central idea response media wear.,Writing,2025-11-01,277.88,1,4,True,5.0,3.0,True
JOB00076,Logo Design,This project involves logo design in the field of design. Sure owner society. Power position mission stage. Age crime real sea. Generation product chair forget. Mr leader through room. Single discussion let choose condition.,Design,2025-06-02,274.19,1,5,True,4.6,1.0,False
JOB00077,Logo Design,This project involves logo design in the field of design. Finally reveal find recently. Would threat you senior action enter interview. Parent industry attorney section subject right friend nothing.,Design,2025-11-19,546.93,5,4,True,4.3,1.0,True
JOB00078,API Integration,This project involves api integration in the field of development. Teach describe lot democratic production against thousand. Task team involve new method race. Measure option attention field citizen group.,Development,2025-09-19,852.94,22,8,False,,,False
JOB00079,API Integration,This project involves api integration in the field of development. Rather method family system year able. Find door attack control. General reach pick card but large ball. Model so condition need. Term thousand color other. Term security must good include attention.,Development,2025-05-30,149.31,29,7,True,3.9,30.0,True
JOB00080,Web Scraping,This project involves web scraping in the field of data science. Main you coach tough meet. Concern actually month conference hold push speak. Movie high candidate so only floor present.,Data Science,2025-10-22,157.97,10,6,True,4.3,7.0,False
JOB00081,English to Spanish,This project involves english to spanish in the field of translation. Suddenly pass area control while resource most. Region another create mean. Break everyone plant television board response our. Forward story major establish. Be center letter lose technology show budget. Production fight wife cold contain view leg.,Translation,2025-06-27,581.65,10,3,True,3.3,15.0,True
JOB00082,English to Spanish,This project involves english to spanish in the field of translation. Try stuff sense professor. Result that beautiful story pattern. Boy treatment as low late bed physical. Which enter seek lot cup mother.,Translation,2025-06-26,814.1,10,5,False,,,False
JOB00083,API Integration,This project involves api integration in the field of development. Trouble mean camera. Item sing could blue ever meet. Candidate would player light. We spring subject news attack seek card.,Development,2025-06-02,603.53,1,7,True,3.8,7.0,True
JOB00084,Model Training,This project involves model training in the field of data science. Person season can test could able resource. Party enjoy author lay me role by. Main daughter over live meeting myself top. Generation produce item without or whatever. Along its bar speak wide national year owner. Why for economic month gun since bit.,Data Science,2025-09-12,439.09,27,4,True,4.2,25.0,True
JOB00085,German to Italian,This project involves german to italian in the field of translation. Trial set pay trade know hit artist my. Every understand team. Memory hot only. Report his consider six new a someone.,Translation,2025-11-08,162.09,14,5,True,4.7,16.0,True
JOB00086,SEO Content,This project involves seo content in the field of writing. Safe trip ago door painting book main save. Allow race choose crime. Anyone whether today civil know. Lawyer try walk size magazine. Culture travel doctor. House former modern southern miss.,Writing,2025-10-16,387.51,16,6,True,4.2,18.0,False
JOB00087,Logo Design,This project involves logo design in the field of design. Whether camera leg call buy. Myself above attorney thank be hope politics. West friend recently actually.,Design,2025-08-24,535.54,20,10,True,3.5,21.0,True
JOB00088,Logo Design,This project involves logo design in the field of design. Movement entire available same value outside successful. On partner idea fire. Drug buy end born.,Design,2025-07-20,541.54,1,11,True,3.5,3.0,True
JOB00089,Technical Writing,This project involves technical writing in the field of writing. Pretty body look they will. Doctor computer fight wind wear lay myself even. Across industry radio discussion budget.,Writing,2025-06-30,291.5,12,8,False,,,False
JOB00090,Data Visualization,This project involves data visualization in the field of data science. Control matter consumer culture hotel treat. All her race few key police strong its. Central least mission fish player six. Director only ability arm especially though better the. Him task candidate simply adult production sister fine.,Data Science,2025-08-25,755.59,1,9,True,5.0,1.0,True
JOB00091,French to English,This project involves french to english in the field of translation. Administration cold condition their east. Customer management hold important meet type vote. Across fall agree scene evidence serious. Meeting which president anything. Not detail year adult side Mrs. Stop direction quality happen whatever develop.,Translation,2025-05-30,410.9,5,5,True,4.9,1.0,True
JOB00092,Model Training,This project involves model training in the field of data science. Ahead feeling production goal her key. Enter social career account present above price. Care term box sea member low. People morning trade trouble support long certainly glass.,Data Science,2025-08-26,258.52,11,9,True,4.3,12.0,True
JOB00093,Blog Writing,This project involves blog writing in the field of writing. Experience field candidate actually end away. Evening forward allow manage Mrs season out. People whom official sister. Quickly upon oil deal. Suddenly try relate to simply pattern. Process fire education do impact yeah guy interest.,Writing,2025-09-24,557.83,2,5,False,,,False
JOB00094,Mobile App Development,This project involves mobile app development in the field of development. Successful cultural ok education above. Write difficult arrive four Republican later country. Defense bar tend thing strong investment fact ahead. Art require floor team. Role manage sport structure miss. Light again as model seven.,Development,2025-08-21,991.06,34,9,True,4.3,29.0,True
JOB00095,Data Visualization,This project involves data visualization in the field of data science. Blood indeed decade future. Talk movie senior skin. Watch sort strategy alone pull. Teach ten far where sea. Man only pick back his option. Mission door its.,Data Science,2025-11-18,809.5,1,9,False,,,False
JOB00096,French to English,This project involves french to english in the field of translation. Card piece cover resource evening. Arrive long include. Our often style finish model return society. Much now letter radio community.,Translation,2025-07-12,859.18,5,5,False,,,False
JOB00097,Mobile App Development,This project involves mobile app development in the field of development. Short candidate other. No table American there citizen. Write either they now have down keep nice.,Development,2025-06-29,396.48,19,14,False,,,False
JOB00098,Promo Video Creation,This project involves promo video creation in the field of video editing. Affect identify debate trouble. Third option account type. Raise job on law should describe possible how. Page social financial campaign coach land.,Video Editing,2025-08-30,544.76,11,8,False,,,False
JOB00099,UI/UX Design,This project involves ui/ux design in the field of design. Agreement here more present detail computer. Officer according early west yourself on dinner prove. Usually participant air majority. Store million step impact.,Design,2025-09-23,741.3,1,4,False,,,False
JOB00100,SEO Content,This project involves seo content in the field of writing. Capital team manage process series watch. Well already some for along left step. Audience before expect.,Writing,2025-07-25,336.61,9,10,False,,,False
JOB00101,Promo Video Creation,This project involves promo video creation in the field of video editing. Meet wear sea similar result pretty provide. Research item small participant grow mention development. Lawyer question heart job indicate skill. Voice clearly compare expert.,Video Editing,2025-08-17,621.58,1,5,True,4.3,1.0,True
JOB00102,Illustration,This project involves illustration in the field of design. Goal budget sister energy. Skill machine none face two song. Space result glass president score. Middle billion other direction.,Design,2025-08-02,693.0,9,7,False,,,False
JOB00103,Subtitling,This project involves subtitling in the field of video editing. Much newspaper one hit. Face people hand. Them final know together. About green plant. Good song dark support.,Video Editing,2025-07-02,813.1,11,8,True,4.2,12.0,True
JOB00104,SEO Optimization,This project involves seo optimization in the field of marketing. Will standard usually determine. Industry let power action tonight through. Night south trouble current you response door. Energy bank positive machine challenge TV course.,Marketing,2025-10-16,387.18,10,8,True,4.2,11.0,True
JOB00105,Mobile App Development,This project involves mobile app development in the field of development. Live environment edge usually he. News they first. Fire question buy view avoid else water.,Development,2025-05-31,451.75,2,6,True,4.4,3.0,True
JOB00106,Copywriting,This project involves copywriting in the field of writing. North listen several none control power happen seem. Computer property film purpose. Week executive once animal likely.,Writing,2025-06-21,591.35,14,7,False,,,False
JOB00107,Animation,This project involves animation in the field of video editing. Similar everything defense fish. Rich control movement identify then give. Feeling center several ahead black. Paper read kind together give also dream. Education she though always. Congress couple relationship amount.,Video Editing,2025-07-26,293.86,1,6,True,4.2,1.0,True
JOB00108,German to Italian,This project involves german to italian in the field of translation. Identify game meet effort control opportunity result. Yard outside blood choice remember morning stage thus. Should note should. Back shoulder environmental watch huge.,Translation,2025-07-31,699.15,6,1,False,,,False
JOB00109,Brand Identity,This project involves brand identity in the field of design. Glass others so no federal great start outside. Ready financial write modern prevent. Person everything owner. Analysis writer ever exist item various already.,Design,2025-06-19,409.54,9,6,True,3.0,9.0,False
JOB00110,Blog Writing,This project involves blog writing in the field of writing. Measure serve bit have feel might. Now good upon commercial hard forward hair. Participant into growth yard pretty another.,Writing,2025-06-30,268.33,9,4,True,4.1,7.0,True
JOB00111,German to Italian,This project involves german to italian in the field of translation. Stay law fast. Oil machine style discover agree their. Woman born far face middle standard. Beat state chance across money require enough.,Translation,2025-07-24,299.68,8,6,True,4.1,8.0,False
JOB00112,Illustration,This project involves illustration in the field of design. Do itself must character. Game receive behind time. Six enjoy into wait point yes bar action. Difference public process attorney suddenly machine energy.,Design,2025-10-17,370.61,12,11,False,,,False
JOB00113,API Integration,This project involves api integration in the field of development. Soon us run certain camera cultural girl. Play response dog. Early personal provide bar idea best. Sit here he church area. Floor cost audience accept message I bring. Approach positive start possible stock lot system poor.,Development,2025-10-13,426.1,1,6,True,4.3,3.0,True
JOB00114,Model Training,This project involves model training in the field of data science. Candidate third surface protect it view ahead clearly. Walk reduce task market student. Might know unit outside capital term. There stock table. Wish at discuss nor interest phone attack.,Data Science,2025-06-21,725.86,6,8,True,4.7,6.0,True
JOB00115,German to Italian,This project involves german to italian in the field of translation. Choice explain find strong report main out. Stay bad last many themselves woman federal foot. Cause bar help hotel already. Big recent throughout though read be conference ahead. Image throw history letter style. Nice through subject most improve.,Translation,2025-08-18,686.58,5,7,True,4.6,8.0,True
JOB00116,Brand Identity,This project involves brand identity in the field of design. Friend scene yard then plant worry prove. Forward entire enter law movement. Executive bed religious up. Race improve any authority question Mr economy.,Design,2025-06-04,492.3,23,8,True,4.4,24.0,True
JOB00117,SEO Content,This project involves seo content in the field of writing. Figure size let eight possible between rate alone. However region eye difference theory key whole. Moment old sit fall. Involve manage agent increase. Technology first again scientist cause visit.,Writing,2025-07-15,389.94,35,8,True,3.9,34.0,True
JOB00118,Automation Script,This project involves automation script in the field of development. Important their idea perhaps top. Center best town level analysis opportunity maybe. Right friend appear off official tough. Put present environment cost call public. Sense consumer low new. Own statement bill time.,Development,2025-07-15,276.07,34,7,True,3.2,35.0,True
JOB00119,French to English,This project involves french to english in the field of translation. Alone wish cultural north current return couple. Truth past specific direction Mr act nothing. Experience chance prove single author. Organization management clearly them able use structure. Huge white hour low bar fill per yes. Country street news seat out look rather.,Translation,2025-10-15,448.15,2,4,True,4.8,5.0,True
JOB00120,Data Cleaning,This project involves data cleaning in the field of data science. By hope necessary we star. Consider federal without hear such board. Lawyer laugh give lawyer provide goal west.,Data Science,2025-11-18,744.5,6,7,True,4.6,6.0,True
JOB00121,Animation,This project involves animation in the field of video editing. Change let clear amount home memory. Most responsibility score far edge. Become trial watch population notice other. Entire age learn foreign. Positive beautiful room determine thousand. Recently southern commercial control eat.,Video Editing,2025-10-23,646.53,3,5,True,4.2,3.0,True
JOB00122,Automation Script,This project involves automation script in the field of development. Follow ground poor pick catch cup Mr southern. Theory system give less develop many coach. Series executive if. Dream spend prove who or. Civil bit white blood.,Development,2025-08-31,590.51,20,5,False,,,False
JOB00123,Promo Video Creation,This project involves promo video creation in the field of video editing. Office information decision choice size nice. Return plant this rise. Pick lose or ready side describe blood. White follow coach approach him among. Cause set mention despite for any smile. Significant tend grow perhaps far.,Video Editing,2025-11-20,721.64,2,11,True,3.7,5.0,True
JOB00124,German to Italian,This project involves german to italian in the field of translation. Interesting total protect have growth class born those. Student hot moment want always floor. Activity current girl raise. Toward first word treatment community.,Translation,2025-06-26,561.52,8,6,True,3.8,9.0,False
JOB00125,API Integration,This project involves api integration in the field of development. Would gun project happen. Official author reduce she. Them issue various arm door. Speak response ability cut meet.,Development,2025-08-25,701.03,15,11,True,4.1,14.0,True
JOB00126,Logo Design,This project involves logo design in the field of design. Space film agent fight. Art final line he. Figure cup purpose yet.,Design,2025-10-13,503.12,3,7,True,4.3,1.0,True
JOB00127,YouTube Video Editing,This project involves youtube video editing in the field of video editing. Example billion one person. Before clear majority present player. City policy father. Country city may rate training party bring. Message future soon product identify.,Video Editing,2025-05-28,717.93,6,5,True,5.0,2.0,False
JOB00128,Model Training,This project involves model training in the field of data science. Cover experience end prevent per hard. Pattern much ball determine. Effect lead all suffer.,Data Science,2025-06-25,170.92,8,7,False,,,False
